,Alcohol Consumption,Drunk Driving Penalties (Based off personal judgement and likely to be highly inaccurate),Legal Driving Age,Rural Freeway Speed Limits,Gun laws,Summer Temperature F,Mean Temperature F,Winter Temperature F,Unemployment Rate,Average Income,Quality of Life,Kids proportion,Adult proportion,Elderly proportion,Smoking Proportion,Air polution(big value indicate polluted),Overweight proportion,high blood pressure,,"
"
Ohio,1,0,16,70,4,70.9,50.7,29.5,2.6,52407,40,22.3,64.4,13.3,21.10%,9,31.5,34.7,,
Oklahoma,1,1,16,75,4,79.6,59.6,39.1,4.4,49767,17,24.4,62.4,13.2,20.10%,7.9,32.8,37.7,,
Oregon,1,0,16,65,3,63.7,48.4,34,4,56119,18,21.1,66.1,12.8,16.10%,7.7,28.7,30.1,,
Pennsylvania,0,0,16.5,65,4,68.6,48.8,28.4,4.1,56951,44,20.8,63.6,15.6,18.70%,9.7,30.3,32.6,,
Rhode Island,0,0,16.5,65,3,68.8,50.1,31.4,4.8,61043,23,19.6,65.9,14.5,14.90%,7.6,30.7,33.1,,
South Carolina,1,0,15.5,70,3,78.4,62.4,46.1,4.5,48781,30,22,65.9,12.1,18.80%,7.4,26.6,38.1,,
South Dakota,1,0,14.25,75,4,69.9,45.2,19.5,4.4,54126,5,24.7,61,14.3,19.30%,5.4,32.3,30.8,,
Tennessee,0,0,16,70,4,75.6,57.6,39.1,3.4,48708,28,22.4,65.2,12.4,22.60%,7.7,29.6,38.7,,
Texas,1,1,16,85,4,81.1,64.8,47.9,4,57051,46,26,64.1,9.9,15.70%,8.6,34.8,32.5,,
Utah,0,0,16,75,4,69.6,48.6,28.2,3.1,65325,22,29.9,61.6,8.5,8.90%,8.3,25.4,24.5,,
Vermont,0,0,16,65,5,65.1,42.9,19.4,2.8,57808,26,18.7,68.6,12.7,15.80%,5.2,27.1,30.4,,
Virginia,1,0,16.25,70,4,73.2,55.1,36.8,3.4,68766,41,22.1,66.7,11.2,16.40%,7.2,29,32.4,,
Washington,1,1,16,70,3,63.8,48.3,33,4.8,66174,21,22.2,66.6,11.2,13.50%,8,28.6,29.5,,
West Virginia,0,0,16,70,5,70.2,51.8,32.8,5.4,44061,45,22.4,62.3,15.3,26.00%,7.8,37.7,43.5,,
Wisconsin,1,1,16,65,4,66.8,43.1,17.2,2.9,56759,3,22.1,64.8,13.1,16.00%,6.8,30.7,30.8,,
Wyoming,1,1,16,75,5,63.5,42,21.2,3.9,60938,11,23.6,64.7,11.7,18.70%,5,27.7,30.8,,
United States,,,,,,,,,,56516,,,,,,8.4,,,,
