,Year,Cause Name,State,Death Counts,State Population(adjusted by year),"Deaths per 100,000 people",Alcohol Consumption,Drunk Driving Penalties,Legal Driving Age,Rural Freeway Speed Limits,Gun Laws,Summer Temperature,Mean Temperature,Winter Temperature,Unemployment Rate,Average Income,Quality of Life,Kids Proportion,Adult Proportion,Elderly Proportion,Smoking Proportion,Air Pollution,Overweight Proportion,High Blood Pressure Proportion
46,2016,Unintentional injuries,Colorado,2880,5540921.0,51.980000000000004,1.0,1.0,16.0,75.0,3.0,65.2,45.1,25.8,3.0,65458.0,10.0,22.5,67.8,9.7,14.60%,6.7,22.3,25.9
47,2016,Unintentional injuries,California,13213,39209127.0,33.7,1.0,0.0,16.0,70.0,1.0,73.4,59.4,46.2,4.3,67169.0,50.0,22.9,66.5,10.6,11.30%,11.9,25.0,28.4
48,2016,Unintentional injuries,Arkansas,1604,2990410.0,53.64,0.0,0.0,16.0,70.0,3.0,78.8,60.4,41.5,3.8,43813.0,7.0,23.5,62.5,14.0,22.30%,7.1,35.7,41.3
49,2016,Unintentional injuries,Arizona,4010,6945452.0,57.74,0.0,0.0,16.0,75.0,5.0,78.1,60.3,43.6,4.9,53510.0,39.0,23.3,63.7,13.0,15.60%,9.7,29.0,30.7
50,2016,Unintentional injuries,Alaska,439,741504.0,59.20000000000001,1.0,0.0,16.0,65.0,5.0,52.3,26.6,2.6,7.3,76114.0,19.0,25.0,69.3,5.7,21.00%,7.4,31.4,31.8
51,2016,Unintentional injuries,Alabama,2755,4864745.0,56.63,0.0,0.0,16.0,70.0,4.0,78.6,62.8,46.5,3.8,46472.0,35.0,22.5,64.5,13.0,20.90%,8.4,35.7,41.9
52,2016,Suicide,Wyoming,144,584290.0,24.65,1.0,1.0,16.0,75.0,5.0,63.5,42.0,21.2,3.9,60938.0,11.0,23.6,64.7,11.7,18.70%,5.0,27.7,30.8
53,2016,Suicide,Wisconsin,866,5772958.0,15.0,1.0,1.0,16.0,65.0,4.0,66.8,43.1,17.2,2.9,56759.0,3.0,22.1,64.8,13.1,16.00%,6.8,30.7,30.8
54,2016,Suicide,West Virginia,362,1830929.0,19.77,0.0,0.0,16.0,70.0,5.0,70.2,51.8,32.8,5.4,44061.0,45.0,22.4,62.3,15.3,26.00%,7.8,37.7,43.5
55,2016,Suicide,Washington,1141,7294680.0,15.64,1.0,1.0,16.0,70.0,3.0,63.8,48.3,33.0,4.8,66174.0,21.0,22.2,66.6,11.2,13.50%,8.0,28.6,29.5
56,2016,Suicide,Virginia,1166,8410946.0,13.86,1.0,0.0,16.25,70.0,4.0,73.2,55.1,36.8,3.4,68766.0,41.0,22.1,66.7,11.2,16.40%,7.2,29.0,32.4
57,2016,Suicide,Vermont,118,623644.0,18.92,0.0,0.0,16.0,65.0,5.0,65.1,42.9,19.4,2.8,57808.0,26.0,18.7,68.6,12.7,15.80%,5.2,27.1,30.4
58,2016,Suicide,Utah,620,3042613.0,20.380000000000003,0.0,0.0,16.0,75.0,4.0,69.6,48.6,28.2,3.1,65325.0,22.0,29.9,61.6,8.5,8.90%,8.3,25.4,24.5
59,2016,Suicide,United States,44965,323071342.0,13.919999999999998,,,,,,,,,,,,,,,,,,
60,2016,Suicide,Texas,3488,27937492.0,12.49,1.0,1.0,16.0,85.0,4.0,81.1,64.8,47.9,4.0,57051.0,46.0,26.0,64.1,9.9,15.70%,8.6,34.8,32.5
61,2016,Suicide,Tennessee,1111,6645011.0,16.72,0.0,0.0,16.0,70.0,4.0,75.6,57.6,39.1,3.4,48708.0,28.0,22.4,65.2,12.4,22.60%,7.7,29.6,38.7
62,2016,Suicide,South Dakota,163,862890.0,18.89,1.0,0.0,14.25,75.0,4.0,69.9,45.2,19.5,4.4,54126.0,5.0,24.7,61.0,14.3,19.30%,5.4,32.3,30.8
63,2016,Suicide,South Carolina,815,4958235.0,16.439999999999998,1.0,0.0,15.5,70.0,3.0,78.4,62.4,46.1,4.5,48781.0,30.0,22.0,65.9,12.1,18.80%,7.4,26.6,38.1
64,2016,Suicide,Rhode Island,126,1057063.0,11.92,0.0,0.0,16.5,65.0,3.0,68.8,50.1,31.4,4.8,61043.0,23.0,19.6,65.9,14.5,14.90%,7.6,30.7,33.1
65,2016,Suicide,Pennsylvania,1970,12783538.0,15.409999999999998,0.0,0.0,16.5,65.0,4.0,68.6,48.8,28.4,4.1,56951.0,44.0,20.8,63.6,15.6,18.70%,9.7,30.3,32.6
66,2016,Suicide,Oregon,772,4091404.0,18.87,1.0,0.0,16.0,65.0,3.0,63.7,48.4,34.0,4.0,56119.0,18.0,21.1,66.1,12.8,16.10%,7.7,28.7,30.1
67,2016,Suicide,Oklahoma,822,3926769.0,20.93,1.0,1.0,16.0,75.0,4.0,79.6,59.6,39.1,4.4,49767.0,17.0,24.4,62.4,13.2,20.10%,7.9,32.8,37.7
68,2016,Suicide,Ohio,1707,11635003.0,14.67,1.0,0.0,16.0,70.0,4.0,70.9,50.7,29.5,2.6,52407.0,40.0,22.3,64.4,13.3,21.10%,9.0,31.5,34.7
69,2016,Suicide,North Dakota,140,754353.0,18.56,0.0,1.0,15.0,75.0,4.0,66.6,40.4,12.2,4.5,61285.0,1.0,23.3,62.0,14.7,18.30%,4.5,31.9,29.5
70,2016,Suicide,North Carolina,1373,10156679.0,13.52,0.0,0.0,16.0,70.0,4.0,75.7,59.0,42.1,4.6,50320.0,34.0,22.4,65.6,12.0,17.20%,7.4,31.8,34.7
71,2016,Suicide,New York,1679,19641589.0,8.55,1.0,0.0,16.5,65.0,1.0,66.5,45.4,23.3,5.6,62765.0,37.0,20.9,66.2,12.9,14.10%,7.0,25.5,29.4
72,2016,Suicide,New Mexico,471,2092789.0,22.509999999999998,1.0,1.0,15.5,75.0,4.0,71.4,53.4,36.1,4.6,46718.0,8.0,23.4,64.9,11.7,17.50%,5.8,28.3,30.5
73,2016,Suicide,New Jersey,687,8874516.0,7.739999999999999,1.0,0.0,17.0,65.0,1.0,72.2,52.7,33.0,2.6,76475.0,49.0,22.0,64.8,13.2,13.70%,8.3,27.4,33.0
74,2016,Suicide,New Hampshire,244,1342373.0,18.18,0.0,1.0,16.0,65.0,5.0,65.5,43.8,21.1,4.9,71305.0,4.0,19.3,68.7,12.0,15.70%,5.0,26.6,30.0
75,2016,Suicide,Nevada,650,2919772.0,22.259999999999998,1.0,1.0,16.0,75.0,3.0,69.0,49.9,32.2,2.8,55434.0,43.0,22.9,66.1,11.0,17.60%,8.8,25.8,32.6
76,2016,Suicide,Nebraska,246,1905924.0,12.91,1.0,1.0,16.0,75.0,3.0,71.8,48.8,25.7,4.1,56675.0,14.0,24.8,61.6,13.6,15.40%,7.1,32.0,30.6
77,2016,Suicide,Montana,267,1040863.0,25.650000000000002,1.0,1.0,15.0,75.0,4.0,64.2,42.7,21.2,3.6,50801.0,13.0,21.8,64.8,13.4,17.20%,6.8,25.5,29.0
78,2016,Suicide,Missouri,1133,6087203.0,18.61,0.0,1.0,16.0,70.0,5.0,75.4,54.5,32.3,4.5,51542.0,15.0,22.6,63.9,13.5,20.80%,7.9,31.7,32.0
79,2016,Suicide,Mississippi,383,2988298.0,12.82,1.0,0.0,16.0,70.0,5.0,79.5,63.4,46.7,3.2,42009.0,6.0,23.9,64.0,12.1,22.20%,7.6,37.3,40.8
80,2016,Suicide,Minnesota,745,5523409.0,13.489999999999998,1.0,1.0,16.0,70.0,2.0,66.8,41.2,12.5,4.7,65699.0,2.0,23.3,64.6,12.1,14.50%,7.1,27.8,26.6
81,2016,Suicide,Michigan,1364,9951890.0,13.71,0.0,0.0,16.0,70.0,3.0,66.2,44.4,21.7,3.5,52668.0,29.0,21.8,65.9,12.3,19.30%,8.3,32.5,34.7
82,2016,Suicide,Massachusetts,631,6826022.0,9.24,1.0,0.0,16.5,65.0,2.0,68.0,47.9,27.4,4.3,74167.0,25.0,20.0,66.5,13.5,13.70%,6.0,23.6,28.6
83,2016,Suicide,Maryland,586,6004692.0,9.76,1.0,1.0,16.5,65.0,1.0,73.3,54.2,34.7,2.7,78916.0,31.0,22.3,66.4,11.3,13.80%,8.3,29.9,32.4
84,2016,Suicide,Maine,226,1331370.0,16.97,1.0,0.0,16.0,75.0,5.0,63.7,41.0,16.8,4.4,53024.0,12.0,18.9,66.7,14.4,17.30%,6.5,29.9,34.8
85,2016,Suicide,Louisiana,677,4678215.0,14.469999999999999,1.0,0.0,16.0,75.0,3.0,81.1,66.4,50.9,4.0,46710.0,42.0,23.7,64.7,11.6,23.10%,8.0,35.5,39.0
86,2016,Suicide,Kentucky,756,4438229.0,17.03,1.0,1.0,16.5,70.0,4.0,74.5,55.6,35.9,3.4,46535.0,27.0,22.7,64.8,12.5,24.60%,8.2,34.2,39.4
87,2016,Suicide,Kansas,514,2911263.0,17.66,0.0,0.0,16.0,75.0,5.0,76.4,54.3,31.9,2.8,55477.0,16.0,24.5,62.2,13.3,17.40%,6.9,31.2,32.8
88,2016,Suicide,Iowa,451,3131785.0,14.400000000000002,1.0,0.0,16.0,70.0,3.0,71.6,47.8,21.7,3.2,56570.0,9.0,23.3,61.8,14.9,17.10%,7.2,32.0,31.5
89,2016,Suicide,Indiana,1034,6633344.0,15.590000000000002,0.0,1.0,16.25,70.0,4.0,72.4,51.7,29.4,4.6,52182.0,48.0,23.6,64.0,12.4,21.80%,8.7,32.5,35.2
90,2016,Suicide,Illinois,1415,12826895.0,11.03,1.0,1.0,16.0,65.0,2.0,73.4,51.8,28.3,2.9,61229.0,47.0,22.6,65.3,12.1,15.50%,9.6,31.6,32.2
91,2016,Suicide,Idaho,351,1682930.0,20.86,0.0,1.0,15.0,75.0,5.0,63.7,44.4,25.4,2.1,50985.0,20.0,25.8,62.9,11.3,14.30%,6.7,27.4,29.8
92,2016,Suicide,Hawaii,174,1428105.0,12.18,1.0,1.0,16.0,60.0,1.0,72.2,70.0,67.4,4.4,74923.0,36.0,21.4,65.3,13.3,12.80%,5.8,23.8,30.6
93,2016,Suicide,Georgia,1409,10304763.0,13.669999999999998,1.0,1.0,16.0,70.0,4.0,78.7,63.5,47.8,4.4,52977.0,32.0,24.1,66.3,9.6,17.50%,8.6,31.4,33.1
94,2016,Suicide,Florida,3143,20629982.0,15.24,0.0,1.0,16.0,70.0,4.0,81.0,70.7,59.4,3.9,50883.0,33.0,20.0,62.4,17.6,16.10%,7.1,27.4,34.6
95,2016,Suicide,District of Columbia,40,686575.0,5.83,,,,,,,,,,,,,,,,,,
96,2016,Suicide,Delaware,119,949216.0,12.540000000000001,1.0,1.0,16.5,65.0,2.0,74.2,55.3,36.1,4.3,63036.0,24.0,21.3,65.7,13.0,17.00%,8.6,30.7,34.9
97,2016,Suicide,Connecticut,397,3578674.0,11.09,1.0,0.0,16.333,65.0,3.0,69.2,49.0,28.5,4.5,73781.0,38.0,20.7,65.5,13.8,12.70%,7.7,26.0,30.5
98,2016,Suicide,Colorado,1168,5540921.0,21.08,1.0,1.0,16.0,75.0,3.0,65.2,45.1,25.8,3.0,65458.0,10.0,22.5,67.8,9.7,14.60%,6.7,22.3,25.9
99,2016,Suicide,California,4294,39209127.0,10.95,1.0,0.0,16.0,70.0,1.0,73.4,59.4,46.2,4.3,67169.0,50.0,22.9,66.5,10.6,11.30%,11.9,25.0,28.4
100,2016,Suicide,Arkansas,555,2990410.0,18.56,0.0,0.0,16.0,70.0,3.0,78.8,60.4,41.5,3.8,43813.0,7.0,23.5,62.5,14.0,22.30%,7.1,35.7,41.3
101,2016,Suicide,Arizona,1271,6945452.0,18.3,0.0,0.0,16.0,75.0,5.0,78.1,60.3,43.6,4.9,53510.0,39.0,23.3,63.7,13.0,15.60%,9.7,29.0,30.7
102,2016,Suicide,Alaska,193,741504.0,26.029999999999998,1.0,0.0,16.0,65.0,5.0,52.3,26.6,2.6,7.3,76114.0,19.0,25.0,69.3,5.7,21.00%,7.4,31.4,31.8
103,2016,Suicide,Alabama,788,4864745.0,16.2,0.0,0.0,16.0,70.0,4.0,78.6,62.8,46.5,3.8,46472.0,35.0,22.5,64.5,13.0,20.90%,8.4,35.7,41.9
104,2016,Stroke,Wyoming,208,584290.0,35.6,1.0,1.0,16.0,75.0,5.0,63.5,42.0,21.2,3.9,60938.0,11.0,23.6,64.7,11.7,18.70%,5.0,27.7,30.8
105,2016,Stroke,Wisconsin,2481,5772958.0,42.980000000000004,1.0,1.0,16.0,65.0,4.0,66.8,43.1,17.2,2.9,56759.0,3.0,22.1,64.8,13.1,16.00%,6.8,30.7,30.8
106,2016,Stroke,West Virginia,1039,1830929.0,56.75,0.0,0.0,16.0,70.0,5.0,70.2,51.8,32.8,5.4,44061.0,45.0,22.4,62.3,15.3,26.00%,7.8,37.7,43.5
107,2016,Stroke,Washington,2910,7294680.0,39.89,1.0,1.0,16.0,70.0,3.0,63.8,48.3,33.0,4.8,66174.0,21.0,22.2,66.6,11.2,13.50%,8.0,28.6,29.5
108,2016,Stroke,Virginia,3502,8410946.0,41.64,1.0,0.0,16.25,70.0,4.0,73.2,55.1,36.8,3.4,68766.0,41.0,22.1,66.7,11.2,16.40%,7.2,29.0,32.4
109,2016,Stroke,Vermont,247,623644.0,39.61,0.0,0.0,16.0,65.0,5.0,65.1,42.9,19.4,2.8,57808.0,26.0,18.7,68.6,12.7,15.80%,5.2,27.1,30.4
110,2016,Stroke,Utah,932,3042613.0,30.630000000000003,0.0,0.0,16.0,75.0,4.0,69.6,48.6,28.2,3.1,65325.0,22.0,29.9,61.6,8.5,8.90%,8.3,25.4,24.5
111,2016,Stroke,United States,142142,323071342.0,44.0,,,,,,,,,,,,,,,,,,
112,2016,Stroke,Texas,10673,27937492.0,38.2,1.0,1.0,16.0,85.0,4.0,81.1,64.8,47.9,4.0,57051.0,46.0,26.0,64.1,9.9,15.70%,8.6,34.8,32.5
113,2016,Stroke,Tennessee,3508,6645011.0,52.790000000000006,0.0,0.0,16.0,70.0,4.0,75.6,57.6,39.1,3.4,48708.0,28.0,22.4,65.2,12.4,22.60%,7.7,29.6,38.7
114,2016,Stroke,South Dakota,420,862890.0,48.67,1.0,0.0,14.25,75.0,4.0,69.9,45.2,19.5,4.4,54126.0,5.0,24.7,61.0,14.3,19.30%,5.4,32.3,30.8
115,2016,Stroke,South Carolina,2627,4958235.0,52.980000000000004,1.0,0.0,15.5,70.0,3.0,78.4,62.4,46.1,4.5,48781.0,30.0,22.0,65.9,12.1,18.80%,7.4,26.6,38.1
116,2016,Stroke,Rhode Island,399,1057063.0,37.75,0.0,0.0,16.5,65.0,3.0,68.8,50.1,31.4,4.8,61043.0,23.0,19.6,65.9,14.5,14.90%,7.6,30.7,33.1
117,2016,Stroke,Pennsylvania,6730,12783538.0,52.65,0.0,0.0,16.5,65.0,4.0,68.6,48.8,28.4,4.1,56951.0,44.0,20.8,63.6,15.6,18.70%,9.7,30.3,32.6
118,2016,Stroke,Oregon,1943,4091404.0,47.49,1.0,0.0,16.0,65.0,3.0,63.7,48.4,34.0,4.0,56119.0,18.0,21.1,66.1,12.8,16.10%,7.7,28.7,30.1
119,2016,Stroke,Oklahoma,1859,3926769.0,47.339999999999996,1.0,1.0,16.0,75.0,4.0,79.6,59.6,39.1,4.4,49767.0,17.0,24.4,62.4,13.2,20.10%,7.9,32.8,37.7
120,2016,Stroke,Ohio,5987,11635003.0,51.459999999999994,1.0,0.0,16.0,70.0,4.0,70.9,50.7,29.5,2.6,52407.0,40.0,22.3,64.4,13.3,21.10%,9.0,31.5,34.7
121,2016,Stroke,North Dakota,311,754353.0,41.23,0.0,1.0,15.0,75.0,4.0,66.6,40.4,12.2,4.5,61285.0,1.0,23.3,62.0,14.7,18.30%,4.5,31.9,29.5
122,2016,Stroke,North Carolina,4940,10156679.0,48.64,0.0,0.0,16.0,70.0,4.0,75.7,59.0,42.1,4.6,50320.0,34.0,22.4,65.6,12.0,17.20%,7.4,31.8,34.7
123,2016,Stroke,New York,6258,19641589.0,31.86,1.0,0.0,16.5,65.0,1.0,66.5,45.4,23.3,5.6,62765.0,37.0,20.9,66.2,12.9,14.10%,7.0,25.5,29.4
124,2016,Stroke,New Mexico,885,2092789.0,42.29,1.0,1.0,15.5,75.0,4.0,71.4,53.4,36.1,4.6,46718.0,8.0,23.4,64.9,11.7,17.50%,5.8,28.3,30.5
125,2016,Stroke,New Jersey,3401,8874516.0,38.32,1.0,0.0,17.0,65.0,1.0,72.2,52.7,33.0,2.6,76475.0,49.0,22.0,64.8,13.2,13.70%,8.3,27.4,33.0
126,2016,Stroke,New Hampshire,490,1342373.0,36.5,0.0,1.0,16.0,65.0,5.0,65.5,43.8,21.1,4.9,71305.0,4.0,19.3,68.7,12.0,15.70%,5.0,26.6,30.0
127,2016,Stroke,Nevada,1096,2919772.0,37.54,1.0,1.0,16.0,75.0,3.0,69.0,49.9,32.2,2.8,55434.0,43.0,22.9,66.1,11.0,17.60%,8.8,25.8,32.6
128,2016,Stroke,Nebraska,787,1905924.0,41.29,1.0,1.0,16.0,75.0,3.0,71.8,48.8,25.7,4.1,56675.0,14.0,24.8,61.6,13.6,15.40%,7.1,32.0,30.6
129,2016,Stroke,Montana,440,1040863.0,42.27,1.0,1.0,15.0,75.0,4.0,64.2,42.7,21.2,3.6,50801.0,13.0,21.8,64.8,13.4,17.20%,6.8,25.5,29.0
130,2016,Stroke,Missouri,3069,6087203.0,50.42,0.0,1.0,16.0,70.0,5.0,75.4,54.5,32.3,4.5,51542.0,15.0,22.6,63.9,13.5,20.80%,7.9,31.7,32.0
131,2016,Stroke,Mississippi,1705,2988298.0,57.06,1.0,0.0,16.0,70.0,5.0,79.5,63.4,46.7,3.2,42009.0,6.0,23.9,64.0,12.1,22.20%,7.6,37.3,40.8
